skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Holy Shock 2	549		holy shock		66																42883	holyshock2	holyshockb		ln12	lightresist	0																					lightmindam	enms*par5/256	lightmaxdam	exms*par5/256	passive_ltng_mastery	10																																																								1	4		none														xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	6	20								1											0	3	0	0	1	1	1		50										50	Pulse Delay			20	radius	0	additional radius per level	-4	pierce	0	pierce/lvl	10	damage to attack multiplier	0	Lowers Lightning Resist	0	Lowers Resist synergy (in halves)	0	damage synergy	1				16385				6															ltng	2	1	2	5	6	9	41	3	7	10	11	14									102	30
Merc Iron Skin	550																																													ironskin		skill_armor_percent	ln12	damagepercent	ln12																																																										1	0		none												SC	SC	xx				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	18	20								1											0	3	0	0	1						1												100	% AC bonus	25	% AC bonus per level													1								8																																				102	30
Mon Whirlwind	551			38	76																	whirlwind																																								skill('Berserk'.blvl)*par7														1		barbarian_whirlwind													31	45																	1	3		none	2	mele										SQ	A1	xx	10		1			1									1										((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	30	20								1					1						1	8	10	0											ln12	damage%						convert%	0	Damage percent per attack			1	Attacks per tick							40	+MgcDmg synergy	0	damage synergy	1	100	25						0	64														mag	200						315						80 * pets - 100								5	50
Psychic Hammerxxx	552			22	33																																																																							1	assassin_psychichammer							psychic_hammer_hit	paladin_holybolt_impact_1			psychic_hammer_curse			5	3																	1	0		rng												SC	SC	SC				1	4	1		1									1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1	20													1						1	6	4	1	1										par1	knockback% vs. monster	dm34	knockback% vs. unique	dm56	knockback% vs. boss	dm56	knockback% vs. player	100	knockback % vs. monster			33	min knockback% vs. unique	66	max knockback% vs. unique	25	min knockback% vs. boss	50	max knockback% vs. boss			24	damage synergy	1								8															mag	10	7	15	24	39	62	20	9	20	33	53	83	((100+stat('passive_mag_mastery'.accr)) * (100+((skill('Mind Blast'.blvl)*par8)+ (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)))/100)-100						5		5	0
Mind Blastxxx	553				51																33667				par7																																																				assassin_psychichammer							fist_will_cast								8					mindblast center	mindblast hit											1	0		rng												SC	SC	SC				1			1										1								1	24	20													1						1	6	8	1	1																		0	length of stun	0	additional lengh of stun	150	conversion length min	75	conversion length random range	1	chance for conversion	1	max chance for conversion	7	radius	14	damagy synergy	1				9				8															mag	8	6	13	21	33	53	15	7	17	28	45	70	((100+stat('passive_mag_mastery'.accr)) * (100+((skill('Psychic Hammer'.blvl)*par8)+ (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)))/100)-100								26	40
Sin Aura	554		Sin Aura		65																73731	unholyblight	unholyblightb		1	item_allskills	1	armorclass	200	item_maxhp_percent	10	item_maxmana_percent	10	tohit	200	item_fastercastrate	25																																																																							1	1	4		none														xx																										1	1								1											0	3	0	0	1	1	1		50																														1								8																																				102	10
Mercsorb	555				65																73731	cleansing	cleansing	ln12	1	item_absorbpois_percent	clc1																																																																																		1	4		none														xx																										1	1								1											0	3	0	0	1	1	1		50						40								15000	dur	0	dur													1								8																																				102	10
proc_SplashDamage	556			4	8												proc_splashdamage																																																																										11	17					proc_splashdamage												1	7		rng		miss										A1	A1	xx				1													1									6														1						1	8	4	1	1										min(24,ln12)	# missiles	par3	activation frame	2	triggered			11	number of arrows to fire	1	additional arrows per level	1	Acivation frame of arrows.											1								8	128																																			384	3000
SoulOrb2	557													spiritorb2																																																															necromancer_bone_cast											cast_undead				29					spiritorb2												1	8		none												SC	SC	xx																	1						necromancer_bone_cast		((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1														1						1	7	60	1	1																(60+(lvl*50))+((100+stat('passive_mag_mastery'.accr)) * (100+(((skill('Teeth'.blvl)+skill('Bone Spirit'.blvl))*par8)+ (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)))/100)-100	Damage (per Shard)															8	damage synergy	1								0															mag	30	6	10	19	27	65	40	7	12	22	30	45	clc4*70									0
Leap Attack	558		leap attack	41	78															bash																																										skill('Berserk'.blvl)*par7														1		barbarian_leapattack_1													30	44																	1	6		none		mele										SQ	A1	xx	14		1			1																			((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	18	20								1					1						1	8	1	0																			4	min distance	30	max distance	250	Min % damage bonus	50	% damage bonus	4	Knockback range	2	knockback range per level	80	+MgcDmg synergy	0	damage synergy	1	50	25						0	192														mag	257						386						80 * pets - 100								5	30
Thunder Storm2	559		thunder storm	13	29												thunderstorm1					thunderstorm		ln12 * (100 + stat('item_skill_duration_increased'.accr)) / 100																																																					sorceress_thunder_cast									lightning		light_cast_2					84				thunderstorm1												1	5		none												SC	SC	xx																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	24	20													1						1	6	12	1	1			1	clc1						25	period delay							30000	duration	0	additional duration/level	25	minimum repeat time (unused)	80	max repeat time (unused)	0	min % repeat time (unused)	-1	repeat time synergy (unused)	30	radius	4	damage synergy	1								8															ltng	1	3	7	18	34	52	62	7	14	24	36	51	((skill('Nova'.blvl)+skill('Static Field'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								51	40
Shiver Armorxxxx	560				18																	shiverarmor		ln34 * (100 + stat('item_skill_duration_increased'.accr)) / 100		damageresist	blvl/par6											attackedinmelee	3																																						sorceress_cast_cold				sorceress_shiverarmor							ice_cast_2	shiverarmor_hit								sparkle				10	sparkle delay	5	sparkle radius	3	sparkle height			1	0		none												SC	SC	xx																	1						sorceress_cast_cold	ice_cast_3	((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	6	20								1					1						1	6	8	1	1	1																	100	% AC base	10	% AC per level	15000	Duration	0	duration per level			5	Levels per +1%PhysRes synergy	0	duration synergy	5	damage synergy	1								8															cold	10	9	13	36	57	81	20	11	15	43	71	98	((skill('Frost Nova'.blvl)+skill('Chilling Armor'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	100	5	5	5				51	10
Unusedgay1	561		twister		28												windvortex							30 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100																																																					druid_windcast															28					windvortex												1	0		none												SC	SC	xx				1	4				1								1						druid_windcast		((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	12	20												len	1						1	5	24	1	1										par1	radius	par2	frequency			blvl*2		6	radius	4	Missile delay	0	Change duration in Missiles.xls									8	damage synergy	1								8															cold	20	13	20	53	70	91	45	17	28	66	87	107	((skill('Tornado'.blvl)+skill('Hurricane'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	100	5	5	5				512	8000
Unusedgay2	562		ice arrow	4										frozencrowncenter2																																																																													11					frozencrowncenter2													1	2		rng		miss										A1	A1	xx				1											1		1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1	20													1						1	8	6	0	1										3	number of missiles																					14	damage synergy	1	50	25						8	128														cold	4	7	21	73	111	153	8	8	26	82	127	188	(skill('Freezing Arrow'.blvl)*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	100	5	5	5					0
Unusedgay3	563		strafe		18									arrowflurrystarter										15 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100	par5																																																				amazon_dodge_1																			arrowflurrystarter													1	2		rng		miss										A1	A1	xx				1	1	1									1										((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	18	20												len	1						1	8	8	0	1												(25+(blvl*25))+(lvl*10) + (skill('Guided Arrow'.blvl)*par8)	damage %					25	damage %	15	damage% / lvl					30	range to consider targets					15	damage synergy	1	50	25						8	42																																			896	64000
Unusedgay4	564		arctic blast		28												iceeruption center2							35 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100																																																					sorceress_cast_cold											ice_cast_3				28					iceeruption center2												1	0		none												SC	SC	xx				1	4				1								1						sorceress_cast_cold	ice_cast_3	((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1	20												len	1						1	8	6	1	1										par1	radius	par2	frequency					6	radius	3	Missile delay	0	Change duration in Missiles.xls									10	damage synergy	1								8															cold	8	5	7	14	17	21	10	6	9	16	19	24	((skill('Tornado'.blvl)+skill('Hurricane'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	100	5	5	5				512	8000
Heaven Storm	565				28												heavenstormstart	heavenstormstart	heavenstormstart																																																										paladin_handofgod_cast															28					heavenstormstart												1	4		none												SC	SC	xx					4				1								1						sorceress_cast_lightning		((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1	20													1						0	8	1	0	1																																		1								4															mag	1	1	1	1	1	1	1	1	1	1	1	1									896	64000
Area Attack	566			32	2												areaattack1	areaattack1	areaattack1																																																																									28					areaattack1												1	4		none												A1	A1	xx			1	1	4				1								1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1	20													1						0	8	0	0	1																																		1	50	25						8	128																																			896	64000
D1Charge1	567			31	67																																																																								HornedDemon_Charge_1														25	37																	1	2		none												A1	A1	A1	4			1		1	1								1											1														1																										skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	elem conversion%	150	percent increase in velocity	0	?	200	plus % damage	25	plus % dam per level									1	100	50						8	128																																			512	8000
D1BalrogInferno	568			53	95												D1BalrogInferno																													firemastery		fireresist	100	firemindam	lvl	firemaxdam	2*lvl	passive_fire_pierce	20																																					54					D1BalrogInferno	D1BalrogInferno											1	0		none												SQ	SQ	S1																										1																								1							1					par1	length of fire	2	density	skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100		60	frame length															1								0															fire	128						256						clc4*225									0
D1Charge2	569			31	67																																																																							1	paladin_charge														25	37																	1	2		none		mele										SQ	A1	xx	4	8	1			1	1								1											1														1						1	8	9	0								1									skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	elem conversion%	150	percent increase in velocity	0	?	200	plus % damage	25	plus % dam per level	2	Trails	0	?					1	100	50						8	128																																			512	8000
D1StormDemonLightning	570													D1Lightning2																																																																																		D1Lightning2													1	6		none												SC	SC	S1	12			1													1									1														1	1					1	7	16	1	1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5)))/100/4		1	minimum damage	1	max damage	0	increase in dam/level (min & max)											1								0															ltng	128						256						clc4*200								512	8000
